,STORE_ID,STORE_NAME,Location,Coordinates,Latitude,Longitude
120,558,Friendswood H-E-B,701 WEST PARKWOOD FRIENDSWOOD TX,"701 W Parkwood Ave, Friendswood, Texas, 77546",29.506255937475277,-95.19164065479879
121,594,Indian Springs H-E-B,10777 KUYKENDAHL ROAD THE WOODLANDS TX,"10777 Kuykendahl Rd, Spring, Texas, 77382",30.177637036055568,-95.53651310193507
122,449,McPherson Rd H-E-B,7811 MCPHERSON RD. LAREDO TX,"7811 McPherson Rd, Laredo, Texas, 78045",27.576341999999997,-99.4716765
123,423,Wooded Acres H-E-B,1301 WOODED ACRES WACO TX,"1301 Wooded Acres Dr, Waco, Texas, 76710",31.53281761339362,-97.18932881499236
124,557,35 and 84 H-E-B plus!,801 NORTH I-H 35 BELLMEAD TX,"801 N Interstate 35, Waco, Texas, 76705",31.58686805210947,-97.10913858881884
125,488,Portland H-E-B,1600 WILDCAT DRIVE PORTLAND TX,"1600 Wildcat Dr, Portland, Texas, 78374",27.887094000000005,-97.3190389384858
126,168,Morgan and Grimes H-E-B,1103 MORGAN BLVD HARLINGEN TX,"1103 Morgan Blvd, Harlingen, Texas, 78550",26.203108030844003,-97.67639608332809
127,590,10th and Trenton H-E-B,901 TRENTON RD MCALLEN TX,"901 Trenton Rd, Mcallen, Texas, 78504",26.266256999999996,-98.218332
128,28,Bay Colony H-E-B,2955 SOUTH GULF FREEWAY LEAGUE CITY TX,"2955 Gulf Fwy S, League City, Texas, 77573",29.466234,-95.0944185
129,638,North Woodlands Market H-E-B,3601 FM 1488 THE WOODLANDS TX,"3601 FM-1488, Conroe, Texas, 77384",30.228323772275694,-95.51798646325685
130,431,Edinburg H-E-B,2700 W FREDDY GONZALES EDINBURG TX,"2700 W Freddy Gonzalez Dr, Edinburg, Texas, 78539",26.289378,-98.19585
131,583,Woodway H-E-B plus!,9100 WOODWAY DRIVE WOODWAY TX,"9100 Woodway Dr, Woodway, Texas, 76712",31.495068000000003,-97.2219285
132,610,Spring Market H-E-B,2121 FM 2920 SPRING TX,"2121 FM-2920, Spring, Texas, 77388",30.070282762157696,-95.44892634705202
133,627,Sugar Land Market H-E-B,530 HWY 6 SUGAR LAND TX,"530 Highway 6, Sugar Land, Texas, 77478",29.608083000000008,-95.6459745
134,413,Alameda / Texan Trail (Medical District),3133 S. ALAMEDA CORPUS CHRISTI TX,"3133 S Alameda St, Corpus Christi, Texas, 78404",27.757553577529304,-97.3905344404172
135,63,Pearland H-E-B plus!,2805 BUSINESS CENTER DRIVE PEARLAND TX,"2805 Business Center Dr, Pearland, Texas, 77584",29.559267000000006,-95.390433
136,473,Fairmont Pkwy H-E-B,6210 FAIRMONT PKWY PASADENA TX,"6210 Fairmont Pkwy, Pasadena, Texas, 77505",29.649694542530362,-95.14469609908247
137,474,Lake Colony H-E-B,4724 HWY 6 MISSOURI CITY TX,"4724 Highway 6, Missouri City, Texas, 77459",29.578590000000005,-95.58263699999999
138,564,Woodlands 1 H-E-B,130 SAWDUST ROAD SPRING TX,"130 Sawdust Rd, Spring, Texas, 77380",30.127626000000006,-95.445729
139,656,Fairfield Market H-E-B,28550 US- 290 CYPRESS TX,"28550 US-290, Cypress, Texas, 77433",29.990612358704286,-95.74595242691504
140,210,Alameda and Robert H-E-B,4320 S. ALAMEDA ST. CORPUS CHRISTI TX,"4320 S Alameda St, Corpus Christi, Texas, 78412",27.72955787070777,-97.37150221227455
141,412,Beeville H-E-B,100 EAST HOUSTON ST. BEEVILLE TX,"100 E Houston St, Beeville, Texas, 78102",28.401138000000003,-97.7475555
142,94,Mission H-E-B plus!,2409 EAST EXPRESSWAY 83 MISSION TX,"2409 E Expressway 83, Mission, Texas, 78572",26.19619150656586,-98.28768684484177
143,95,Laredo H-E-B plus!,1911 NE BOB BULLOCK LOOP LAREDO TX,"1911 NE Bob Bullock Loop, Laredo, Texas, 78045",27.607445999999996,-99.47394
144,720,Kingwood Market H-E-B,4517 KINGWOOD DRIVE KINGWOOD TX,"4517 Kingwood Dr, Kingwood, Texas, 77345",30.053918741243567,-95.18372674646542
145,489,Boca Chica H-E-B,2250 BOCA CHICA BROWNSVILLE TX,"2250 Boca Chica Blvd, Brownsville, Texas, 78521",25.92212853938596,-97.48847008924338
146,672,Valley Mills H-E-B plus!,1821 SOUTH VALLEY MILLS DR. WACO TX,"1821 S Valley Mills Dr, Waco, Texas, 76711",31.52451866331024,-97.1368627574297
147,292,Bay City H-E-B,2700 SEVENTH BAY CITY TX,"2700 7th St, Bay City, Texas, 77414",28.98327650620375,-95.95801911073923
148,498,Atascocita H-E-B,7405 FM 1960 EAST HUMBLE TX,"7405 FM-1960 E, Humble, Texas, 77346",29.998326158214045,-95.16441465821404
149,615,Katy Market H-E-B,25675 NELSON WAY KATY TX,"25675 Nelson Way, Katy, Texas, 77494",29.773521000000002,-95.8224195
150,619,Tower Point Market H-E-B,949 WILLIAM D.FITCH PARKWAY COLLEGE STATION TX,"949 William D Fitch Pkwy, College Station, Texas, 77845",30.55896,-96.260859
151,675,Pearland Market,2710 PEARLAND PARKWAY PEARLAND TX,"2710 Pearland Pkwy, Pearland, Texas, 77581",29.55819600000001,-95.26500899999999
152,446,Paredes and Torres H-E-B plus!,2155 PAREDES LINE RD BROWNSVILLE TX,"2155 Paredes Line Rd, Brownsville, Texas, 78521",25.94985778686007,-97.48710928103074
153,642,Pharr H-E-B plus!,1300 SOUTH CAGE BLVD. PHARR TX,"1300 S Cage Blvd, Pharr, Texas, 78577",26.179038000000006,-98.1894915
154,54,Blackhawk H-E-B,9828 BLACKHAWK BLVD. HOUSTON TX,"9828 Blackhawk Blvd, Houston, Texas, 77075",29.601782999999998,-95.25014999999999
155,492,Fry Rd and I10 H-E-B,1550 FRY RD HOUSTON TX,"1550 Fry Rd, Houston, Texas, 77084",29.789307000000008,-95.716746
156,574,Tomball H-E-B,28520 TOMBALL PARKWAY TOMBALL TX,"28520 Tomball Pkwy, Tomball, Texas, 77375",30.0881176223421,-95.63199846861036
157,599,Buffalo Speedway H-E-B,5225 A  BUFFALO SPEEDWAY HOUSTON TX,"5225 Buffalo Speedway, Houston, Texas, 77005",29.72699410010078,-95.42776773509935
158,614,Summerwood Market H-E-B,12680 W.LAKE HOUSTON PKWY 8 HOUSTON TX,"12680 W Lake Houston Pkwy, Houston, Texas, 77044",29.922993000000005,-95.19696449999999
159,732,Bulverde and 1604 H-E-B,17238 BULVERDE ROAD SAN ANTONIO TX,"17238 Bulverde Rd, San Antonio, Texas, 78247",29.59506900000001,-98.4175065
